PLAYER_ID,PLAYER_NAME,SEASON,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TARGET_NEXT,NEXT_SEASON
202340,Avery Bradley,2019-20,49,24.2,8.6,1.3,2.3,0.9,0.1,1.0,0.444,0.364,0.833,3.7,6.4,2020-21
202340,Avery Bradley,2020-21,27,22.3,6.4,1.7,2.1,0.8,0.1,1.0,0.374,0.327,0.8,-4.9,6.4,2021-22
202355,Hassan Whiteside,2019-20,67,30.0,15.5,1.2,13.5,0.4,2.9,1.8,0.621,0.571,0.686,1.7,8.1,2020-21
202355,Hassan Whiteside,2020-21,36,15.2,8.1,0.6,6.0,0.3,1.3,1.1,0.563,0.0,0.519,-2.9,8.2,2021-22
202357,Nemanja Bjelica,2019-20,72,27.9,11.5,2.8,6.4,0.9,0.6,1.4,0.481,0.419,0.821,0.1,6.5,2020-21
202357,Nemanja Bjelica,2020-21,37,16.1,6.5,1.9,3.4,0.4,0.1,0.9,0.454,0.318,0.725,-1.8,6.1,2021-22
202397,Ish Smith,2019-20,68,26.3,10.9,4.9,3.2,0.9,0.4,1.4,0.447,0.367,0.721,-2.1,6.7,2020-21
202397,Ish Smith,2020-21,44,21.0,6.7,3.9,3.4,0.7,0.3,0.9,0.434,0.367,0.576,1.2,6.3,2021-22
202397,Ish Smith,2021-22,65,17.3,6.3,3.8,2.2,0.7,0.4,1.2,0.43,0.373,0.625,-2.4,2.5,2022-23
202397,Ish Smith,2022-23,43,9.3,2.5,2.3,1.3,0.2,0.2,1.0,0.397,0.167,0.5,-0.8,3.2,2023-24
202681,Kyrie Irving,2019-20,20,32.9,27.4,6.4,5.2,1.4,0.5,2.6,0.478,0.394,0.922,-0.4,26.9,2020-21
202681,Kyrie Irving,2020-21,54,34.9,26.9,6.0,4.8,1.4,0.7,2.4,0.506,0.402,0.922,4.2,27.4,2021-22
202681,Kyrie Irving,2021-22,29,37.6,27.4,5.8,4.4,1.4,0.6,2.5,0.469,0.418,0.915,4.2,27.1,2022-23
202681,Kyrie Irving,2022-23,60,37.3,27.1,5.5,5.1,1.1,0.8,2.1,0.494,0.379,0.905,3.7,25.6,2023-24
202683,Enes Freedom,2019-20,58,17.0,8.1,1.0,7.4,0.4,0.7,1.0,0.572,0.143,0.707,3.6,11.2,2020-21
202683,Enes Freedom,2020-21,72,24.4,11.2,1.2,11.0,0.5,0.7,1.1,0.604,0.25,0.774,2.2,3.7,2021-22
202684,Tristan Thompson,2019-20,57,30.2,12.0,2.1,10.1,0.6,0.9,1.8,0.512,0.391,0.615,-6.6,7.6,2020-21
